,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,OT,Notes
39.0,2025-02-22,North Carolina Central,,Maryland-Eastern Shore,,,
102.0,2025-02-22,Texas A&M-Corpus Christi,,McNeese State,,,
80.0,2025-02-22,UNC Greensboro,,Mercer,,,
144.0,2025-02-22,Virginia Tech,,Miami (FL),,,
82.0,2025-02-22,Kent State,,Miami (OH),,,
73.0,2025-02-22,Sam Houston,,Middle Tennessee,,,
149.0,2025-02-22,Penn State,,Minnesota,,,
110.0,2025-02-22,Illinois State,,Missouri State,,,
114.0,2025-02-22,Northeastern,,Monmouth,,,
75.0,2025-02-22,Montana,,Montana State,,,
99.0,2025-02-22,Eastern Illinois,,Morehead State,,,
40.0,2025-02-22,Howard,,Morgan State,,,
145.0,2025-02-22,Wake Forest,,NC State,,,
91.0,2025-02-22,Boise State,,Nevada,,,
92.0,2025-02-22,Colorado State,,Nevada-Las Vegas,,,
103.0,2025-02-22,Northwestern State,,New Orleans,,,
105.0,2025-02-22,Texas-Rio Grande Valley,,Nicholls State,,,
147.0,2025-02-22,Virginia,,North Carolina,,,
115.0,2025-02-22,Stony Brook,,North Carolina A&T,,,
63.0,2025-02-22,North Dakota State,,North Dakota,,,
76.0,2025-02-22,Eastern Washington,,Northern Arizona,,,
77.0,2025-02-22,Idaho,,Northern Colorado,,,
84.0,2025-02-22,Eastern Michigan,,Northern Illinois,,,
148.0,2025-02-22,Pittsburgh,,Notre Dame,,,
85.0,2025-02-22,Akron,,Ohio,,,
113.0,2025-02-22,Mississippi State,,Oklahoma,,,
113.0,2025-02-22,Georgia State,,Old Dominion,,,
64.0,2025-02-22,South Dakota,,Omaha,,,
65.0,2025-02-22,St. Thomas,,Oral Roberts,,,
90.0,2025-02-22,Portland,,Pacific,,,
44.0,2025-02-22,Harvard,,Pennsylvania,,,
85.0,2025-02-22,Arkansas-Pine Bluff,,Prairie View,,,
65.0,2025-02-22,Presbyterian,,Radford,,,
92.0,2025-02-22,Tulsa,,Rice,,,
66.0,2025-02-22,FDU,,Saint Francis (PA),,,
108.0,2025-02-22,Richmond,,Saint Joseph's,,,
109.0,2025-02-22,Rhode Island,,Saint Louis,,,
81.0,2025-02-22,Western Carolina,,Samford,,,
91.0,2025-02-22,Oregon State,,San Diego,,,
114.0,2025-02-22,Texas,,South Carolina,,,
100.0,2025-02-22,Lindenwood,,Southeast Missouri State,,,
106.0,2025-02-22,East Texas A&M,,Southeastern Louisiana,,,
111.0,2025-02-22,Valparaiso,,Southern Illinois,,,
101.0,2025-02-22,Southern Illinois-Edwardsville,,Southern Indiana,,,
149.0,2025-02-22,Clemson,,Southern Methodist,,,
114.0,2025-02-22,Louisiana,,Southern Mississippi,,,
110.0,2025-02-22,Duquesne,,St. Bonaventure,,,
150.0,2025-02-22,California,,Stanford,,,
102.0,2025-02-22,Tennessee State,,Tennessee Tech,,,
115.0,2025-02-22,Tennessee,,Texas A&M,,,
86.0,2025-02-22,Mississippi Valley State,,Texas Southern,,,
115.0,2025-02-22,South Alabama,,Texas State,,,
130.0,2025-02-22,West Virginia,,Texas Tech,,,
86.0,2025-02-22,Bowling Green State,,Toledo,,,
116.0,2025-02-22,Coastal Carolina,,Troy,,,
92.0,2025-02-22,Cal State Northridge,,UC Davis,,,
93.0,2025-02-22,Hawaii,,UC San Diego,,,
66.0,2025-02-22,Longwood,,UNC Asheville,,,
56.0,2025-02-22,Tarleton State,,UT Arlington,,,
93.0,2025-02-22,San Diego State,,Utah State,,,
57.0,2025-02-22,Seattle,,Utah Valley,,,
116.0,2025-02-22,Mississippi,,Vanderbilt,,,
61.0,2025-02-22,Massachusetts-Lowell,,Vermont,,,
111.0,2025-02-22,George Mason,,Virginia Commonwealth,,,
92.0,2025-02-22,Santa Clara,,Washington State,,,
78.0,2025-02-22,Portland State,,Weber State,,,
74.0,2025-02-22,Louisiana Tech,,Western Kentucky,,,
87.0,2025-02-22,Central Michigan,,Western Michigan,,,
150.0,2025-02-22,Oregon,,Wisconsin,,,
82.0,2025-02-22,East Tennessee State,,Wofford,,,
94.0,2025-02-22,San Jose State,,Wyoming,,,
45.0,2025-02-22,Columbia,,Yale,,,
80.0,2025-02-23,Army,,Bucknell,,,
91.0,2025-02-23,Georgetown,,Creighton,,,
93.0,2025-02-23,UTSA,,East Carolina,,,
151.0,2025-02-23,Purdue,,Indiana,,,
105.0,2025-02-23,Merrimack,,Iona,,,
131.0,2025-02-23,Arizona State,,Kansas State,,,
106.0,2025-02-23,Quinnipiac,,Manhattan,,,
107.0,2025-02-23,Niagara,,Marist,,,
94.0,2025-02-23,Florida Atlantic,,Memphis,,,
108.0,2025-02-23,Rider,,Mount St. Mary's,,,
81.0,2025-02-23,Holy Cross,,Navy,,,
112.0,2025-02-23,Drake,,Northern Iowa,,,
100.0,2025-02-23,IU Indy,,Northern Kentucky,,,
101.0,2025-02-23,Cleveland State,,Oakland,,,
102.0,2025-02-23,Milwaukee,,Robert Morris,,,
152.0,2025-02-23,Southern California,,Rutgers,,,
109.0,2025-02-23,Sacred Heart,,Saint Peter's,,,
92.0,2025-02-23,Xavier,,Seton Hall,,,
110.0,2025-02-23,Canisius,,Siena,,,
66.0,2025-02-23,Kansas City,,South Dakota State,,,
95.0,2025-02-23,North Texas,,South Florida,,,
93.0,2025-02-23,Connecticut,,St. John's (NY),,,
96.0,2025-02-23,Temple,,UAB,,,
132.0,2025-02-23,Utah,,UCF,,,
153.0,2025-02-23,Ohio State,,UCLA,,,
97.0,2025-02-23,Tulane,,Wichita State,,,
103.0,2025-02-23,Green Bay,,Youngstown State,,,
87.0,2025-02-24,Florida A&M,,Alabama A&M,,,
88.0,2025-02-24,Bethune-Cookman,,Alabama State,,,
100.0,2025-02-24,Lipscomb,,Austin Peay,,,
101.0,2025-02-24,North Alabama,,Central Arkansas,,,
133.0,2025-02-24,Kansas,,Colorado,,,
42.0,2025-02-24,Howard,,Coppin State,,,
43.0,2025-02-24,North Carolina Central,,Delaware State,,,
102.0,2025-02-24,North Florida,,Florida Gulf Coast,,,
151.0,2025-02-24,North Carolina,,Florida State,,,
107.0,2025-02-24,Stephen F. Austin,,Houston Christian,,,
108.0,2025-02-24,Lamar,,Incarnate Word,,,
103.0,2025-02-24,Eastern Kentucky,,Jacksonville,,,
44.0,2025-02-24,South Carolina State,,Maryland-Eastern Shore,,,
109.0,2025-02-24,Texas-Rio Grande Valley,,McNeese State,,,
154.0,2025-02-24,Michigan,,Nebraska,,,
110.0,2025-02-24,East Texas A&M,,New Orleans,,,
111.0,2025-02-24,Texas A&M-Corpus Christi,,Nicholls State,,,
45.0,2025-02-24,Morgan State,,Norfolk State,,,
89.0,2025-02-24,Mississippi Valley State,,Prairie View,,,
112.0,2025-02-24,Northwestern State,,Southeastern Louisiana,,,
105.0,2025-02-24,Bellarmine,,Stetson,,,
90.0,2025-02-24,Arkansas-Pine Bluff,,Texas Southern,,,
134.0,2025-02-24,Houston,,Texas Tech,,,
106.0,2025-02-24,Queens (NC),,West Georgia,,,
95.0,2025-02-25,Colorado State,,Air Force,,,
117.0,2025-02-25,Mississippi State,,Alabama,,,
88.0,2025-02-25,Akron,,Ball State,,,
89.0,2025-02-25,Buffalo,,Central Michigan,,,
135.0,2025-02-25,Baylor,,Cincinnati,,,
112.0,2025-02-25,Saint Louis,,Davidson,,,
90.0,2025-02-25,Bowling Green State,,Eastern Michigan,,,
118.0,2025-02-25,Florida,,Georgia,,,
117.0,2025-02-25,Appalachian State,,Georgia Southern,,,
155.0,2025-02-25,Iowa,,Illinois,,,
91.0,2025-02-25,Toledo,,Kent State,,,
82.0,2025-02-25,Army,,Lafayette,,,
119.0,2025-02-25,Tennessee,,Louisiana State,,,
118.0,2025-02-25,James Madison,,Louisiana-Monroe,,,
94.0,2025-02-25,Providence,,Marquette,,,
119.0,2025-02-25,Old Dominion,,Marshall,,,
152.0,2025-02-25,Duke,,Miami (FL),,,
92.0,2025-02-25,Northern Illinois,,Miami (OH),,,
156.0,2025-02-25,Northwestern,,Minnesota,,,
120.0,2025-02-25,South Carolina,,Missouri,,,
113.0,2025-02-25,Indiana State,,Murray State,,,
96.0,2025-02-25,Wyoming,,Nevada,,,
136.0,2025-02-25,Iowa State,,Oklahoma State,,,
153.0,2025-02-25,Georgia Tech,,Pittsburgh,,,
113.0,2025-02-25,Virginia Commonwealth,,Richmond,,,
97.0,2025-02-25,New Mexico,,San Diego State,,,
98.0,2025-02-25,Nevada-Las Vegas,,San Jose State,,,
114.0,2025-02-25,Illinois State,,Southern Illinois,,,
120.0,2025-02-25,Troy,,Texas State,,,
154.0,2025-02-25,Louisville,,Virginia Tech,,,
137.0,2025-02-25,TCU,,West Virginia,,,
103.0,2025-02-25,Lindenwood,,Western Illinois,,,
93.0,2025-02-25,Ohio,,Western Michigan,,,
157.0,2025-02-25,Washington,,Wisconsin,,,
84.0,2025-02-26,Navy,,American,,,
138.0,2025-02-26,Utah,,Arizona,,,
139.0,2025-02-26,Brigham Young,,Arizona State,,,
121.0,2025-02-26,Texas,,Arkansas,,,
122.0,2025-02-26,Mississippi,,Auburn,,,
99.0,2025-02-26,Utah State,,Boise State,,,
95.0,2025-02-26,St. John's (NY),,Butler,,,
155.0,2025-02-26,Southern Methodist,,California,,,
156.0,2025-02-26,Notre Dame,,Clemson,,,
121.0,2025-02-26,Georgia State,,Coastal Carolina,,,
85.0,2025-02-26,Holy Cross,,Colgate,,,
96.0,2025-02-26,Georgetown,,Connecticut,,,
97.0,2025-02-26,DePaul,,Creighton,,,
84.0,2025-02-26,Mercer,,East Tennessee State,,,
115.0,2025-02-26,Drake,,Evansville,,,
107.0,2025-02-26,Bellarmine,,Florida Gulf Coast,,,
85.0,2025-02-26,The Citadel,,Furman,,,
67.0,2025-02-26,Radford,,Gardner-Webb,,,
114.0,2025-02-26,Fordham,,George Mason,,,
68.0,2025-02-26,South Carolina Upstate,,High Point,,,
158.0,2025-02-26,Penn State,,Indiana,,,
108.0,2025-02-26,Stetson,,Jacksonville,,,
115.0,2025-02-26,Duquesne,,La Salle,,,
86.0,2025-02-26,Boston University,,Lehigh,,,
109.0,2025-02-26,Central Arkansas,,Lipscomb,,,
69.0,2025-02-26,Winthrop,,Longwood,,,
122.0,2025-02-26,Arkansas State,,Louisiana,,,
116.0,2025-02-26,George Washington,,Loyola (IL),,,
87.0,2025-02-26,Bucknell,,Loyola (MD),,,
159.0,2025-02-26,Michigan State,,Maryland,,,
98.0,2025-02-26,Rice,,Memphis,,,
116.0,2025-02-26,Belmont,,Missouri State,,,
110.0,2025-02-26,Queens (NC),,North Alabama,,,
67.0,2025-02-26,South Dakota,,North Dakota State,,,
111.0,2025-02-26,Eastern Kentucky,,North Florida,,,
117.0,2025-02-26,Illinois-Chicago,,Northern Iowa,,,
123.0,2025-02-26,Kentucky,,Oklahoma,,,
117.0,2025-02-26,Dayton,,Rhode Island,,,
118.0,2025-02-26,St. Bonaventure,,Saint Joseph's,,,
98.0,2025-02-26,Villanova,,Seton Hall,,,
160.0,2025-02-26,Ohio State,,Southern California,,,
123.0,2025-02-26,South Alabama,,Southern Mississippi,,,
157.0,2025-02-26,Boston College,,Stanford,,,
158.0,2025-02-26,NC State,,Syracuse,,,
99.0,2025-02-26,South Florida,,Temple,,,
124.0,2025-02-26,Vanderbilt,,Texas A&M,,,
100.0,2025-02-26,Charlotte,,Tulane,,,
140.0,2025-02-26,Kansas State,,UCF,,,
70.0,2025-02-26,Presbyterian,,UNC Asheville,,,
118.0,2025-02-26,Bradley,,Valparaiso,,,
159.0,2025-02-26,Virginia,,Wake Forest,,,
112.0,2025-02-26,Austin Peay,,West Georgia,,,
86.0,2025-02-26,Wofford,,Western Carolina,,,
94.0,2025-02-27,UC Irvine,,Cal State Fullerton,,,
95.0,2025-02-27,UC San Diego,,Cal State Northridge,,,
116.0,2025-02-27,UNC Wilmington,,Campbell,,,
67.0,2025-02-27,Le Moyne,,Central Connecticut State,,,
117.0,2025-02-27,Delaware,,College of Charleston,,,
118.0,2025-02-27,Hampton,,Drexel,,,
105.0,2025-02-27,Little Rock,,Eastern Illinois,,,
79.0,2025-02-27,Weber State,,Eastern Washington,,,
68.0,2025-02-27,Stonehill,,FDU,,,
101.0,2025-02-27,North Texas,,Florida Atlantic,,,
75.0,2025-02-27,Kennesaw State,,Florida International,,,
58.0,2025-02-27,UT Arlington,,Grand Canyon,,,
105.0,2025-02-27,Detroit Mercy,,Green Bay,,,
106.0,2025-02-27,Robert Morris,,IU Indy,,,
80.0,2025-02-27,Idaho State,,Idaho,,,
68.0,2025-02-27,Denver,,Kansas City,,,
76.0,2025-02-27,Jacksonville State,,Liberty,,,
96.0,2025-02-27,Cal State Bakersfield,,Long Beach State,,,
69.0,2025-02-27,Wagner,,Long Island University,,,
93.0,2025-02-27,Saint Mary's (CA),,Loyola Marymount,,,
63.0,2025-02-27,Albany (NY),,Maryland-Baltimore County,,,
64.0,2025-02-27,Bryant,,Massachusetts-Lowell,,,
70.0,2025-02-27,Chicago State,,Mercyhurst,,,
161.0,2025-02-27,Rutgers,,Michigan,,,
107.0,2025-02-27,Oakland,,Milwaukee,,,
119.0,2025-02-27,Elon,,Monmouth,,,
66.0,2025-02-27,Vermont,,NJIT,,,
65.0,2025-02-27,Maine,,New Hampshire,,,
77.0,2025-02-27,Middle Tennessee,,New Mexico State,,,
120.0,2025-02-27,North Carolina A&T,,Northeastern,,,
69.0,2025-02-27,South Dakota State,,Oral Roberts,,,
94.0,2025-02-27,San Francisco,,Oregon State,,,
95.0,2025-02-27,Pepperdine,,Portland,,,
81.0,2025-02-27,Montana State,,Portland State,,,
108.0,2025-02-27,Northern Kentucky,,Purdue Fort Wayne,,,
82.0,2025-02-27,Montana,,Sacramento State,,,
96.0,2025-02-27,Gonzaga,,Santa Clara,,,
59.0,2025-02-27,California Baptist,,Seattle,,,
106.0,2025-02-27,Southeast Missouri State,,Southern Illinois-Edwardsville,,,
70.0,2025-02-27,North Dakota,,St. Thomas,,,
121.0,2025-02-27,Hofstra,,Stony Brook,,,
60.0,2025-02-27,Abilene Christian,,Tarleton State,,,
107.0,2025-02-27,Morehead State,,Tennessee State,,,
108.0,2025-02-27,Western Illinois,,Tennessee Tech,,,
109.0,2025-02-27,Southern Indiana,,Tennessee-Martin,,,
122.0,2025-02-27,William & Mary,,Towson,,,
97.0,2025-02-27,Cal Poly,,UC Santa Barbara,,,
87.0,2025-02-27,Chattanooga,,UNC Greensboro,,,
78.0,2025-02-27,Western Kentucky,,UTEP,,,
61.0,2025-02-27,Southern Utah,,Utah Tech,,,
88.0,2025-02-27,Samford,,Virginia Military Institute,,,
97.0,2025-02-27,San Diego,,Washington State,,,
102.0,2025-02-27,UAB,,Wichita State,,,
109.0,2025-02-27,Cleveland State,,Wright State,,,
111.0,2025-02-28,Manhattan,,Canisius,,,
124.0,2025-02-28,Old Dominion,,Coastal Carolina,,,
46.0,2025-02-28,Princeton,,Columbia,,,
47.0,2025-02-28,Pennsylvania,,Cornell,,,
48.0,2025-02-28,Yale,,Dartmouth,,,
112.0,2025-02-28,Mount St. Mary's,,Fairfield,,,
126.0,2025-02-28,Georgia State,,Georgia Southern,,,
49.0,2025-02-28,Brown,,Harvard,,,
98.0,2025-02-28,UC Riverside,,Hawaii,,,
127.0,2025-02-28,Arkansas State,,Louisiana-Monroe,,,
128.0,2025-02-28,Appalachian State,,Marshall,,,
113.0,2025-02-28,Rider,,Merrimack,,,
100.0,2025-02-28,Nevada,,Nevada-Las Vegas,,,
114.0,2025-02-28,Iona,,Niagara,,,
162.0,2025-02-28,Iowa,,Northwestern,,,
163.0,2025-02-28,UCLA,,Purdue,,,
115.0,2025-02-28,Saint Peter's,,Quinnipiac,,,
116.0,2025-02-28,Marist,,Sacred Heart,,,
129.0,2025-02-28,Louisiana,,South Alabama,,,
130.0,2025-02-28,Troy,,Southern Mississippi,,,
131.0,2025-02-28,James Madison,,Texas State,,,
119.0,2025-02-28,Davidson,,Virginia Commonwealth,,,
94.0,2025-03-01,Kent State,,Akron,,,
91.0,2025-03-01,Alabama A&M,,Alabama State,,,
92.0,2025-03-01,Prairie View,,Alcorn State,,,
88.0,2025-03-01,Lehigh,,Army,,,
141.0,2025-03-01,Oklahoma State,,Baylor,,,
93.0,2025-03-01,Southern,,Bethune-Cookman,,,
89.0,2025-03-01,Lafayette,,Boston University,,,
95.0,2025-03-01,Ball State,,Bowling Green State,,,
142.0,2025-03-01,West Virginia,,Brigham Young,,,
96.0,2025-03-01,Toledo,,Buffalo,,,
99.0,2025-03-01,Cal State Bakersfield,,Cal Poly,,,
100.0,2025-03-01,UC Santa Barbara,,Cal State Northridge,,,
160.0,2025-03-01,Boston College,,California,,,
110.0,2025-03-01,Purdue Fort Wayne,,Cleveland State,,,
90.0,2025-03-01,American,,Colgate,,,
123.0,2025-03-01,Campbell,,College of Charleston,,,
101.0,2025-03-01,Utah State,,Colorado State,,,
50.0,2025-03-01,Pennsylvania,,Columbia,,,
51.0,2025-03-01,Princeton,,Cornell,,,
52.0,2025-03-01,Brown,,Dartmouth,,,
120.0,2025-03-01,Richmond,,Dayton,,,
46.0,2025-03-01,Coppin State,,Delaware State,,,
71.0,2025-03-01,South Dakota State,,Denver,,,
124.0,2025-03-01,Monmouth,,Drexel,,,
161.0,2025-03-01,Florida State,,Duke,,,
121.0,2025-03-01,George Mason,,Duquesne,,,
113.0,2025-03-01,Incarnate Word,,East Texas A&M,,,
110.0,2025-03-01,Southeast Missouri State,,Eastern Illinois,,,
97.0,2025-03-01,Central Michigan,,Eastern Michigan,,,
84.0,2025-03-01,Idaho State,,Eastern Washington,,,
71.0,2025-03-01,Long Island University,,FDU,,,
126.0,2025-03-01,Texas A&M,,Florida,,,
94.0,2025-03-01,Grambling,,Florida A&M,,,
79.0,2025-03-01,Jacksonville State,,Florida International,,,
122.0,2025-03-01,Saint Joseph's,,Fordham,,,
102.0,2025-03-01,Boise State,,Fresno State,,,
123.0,2025-03-01,La Salle,,George Washington,,,
99.0,2025-03-01,Marquette,,Georgetown,,,
162.0,2025-03-01,NC State,,Georgia Tech,,,
111.0,2025-03-01,Oakland,,Green Bay,,,
53.0,2025-03-01,Yale,,Harvard,,,
126.0,2025-03-01,North Carolina A&T,,Hofstra,,,
91.0,2025-03-01,Bucknell,,Holy Cross,,,
143.0,2025-03-01,Cincinnati,,Houston,,,
112.0,2025-03-01,Wright State,,IU Indy,,,
85.0,2025-03-01,Weber State,,Idaho,,,
144.0,2025-03-01,Arizona,,Iowa State,,,
95.0,2025-03-01,Texas Southern,,Jackson State,,,
145.0,2025-03-01,Texas Tech,,Kansas,,,
127.0,2025-03-01,Auburn,,Kentucky,,,
114.0,2025-03-01,McNeese State,,Lamar,,,
163.0,2025-03-01,Pittsburgh,,Louisville,,,
67.0,2025-03-01,Bryant,,Maine,,,
68.0,2025-03-01,Vermont,,Maryland-Baltimore County,,,
47.0,2025-03-01,Morgan State,,Maryland-Eastern Shore,,,
124.0,2025-03-01,Rhode Island,,Massachusetts,,,
69.0,2025-03-01,Binghamton,,Massachusetts-Lowell,,,
89.0,2025-03-01,Western Carolina,,Mercer,,,
113.0,2025-03-01,Detroit Mercy,,Milwaukee,,,
128.0,2025-03-01,Oklahoma,,Mississippi,,,
129.0,2025-03-01,Louisiana State,,Mississippi State,,,
96.0,2025-03-01,Arkansas-Pine Bluff,,Mississippi Valley State,,,
70.0,2025-03-01,Albany (NY),,NJIT,,,
92.0,2025-03-01,Loyola (MD),,Navy,,,
164.0,2025-03-01,Minnesota,,Nebraska,,,
103.0,2025-03-01,Air Force,,New Mexico,,,
80.0,2025-03-01,Western Kentucky,,New Mexico State,,,
164.0,2025-03-01,Miami (FL),,North Carolina,,,
48.0,2025-03-01,Howard,,North Carolina Central,,,
86.0,2025-03-01,Northern Colorado,,Northern Arizona,,,
98.0,2025-03-01,Western Michigan,,Northern Illinois,,,
114.0,2025-03-01,Youngstown State,,Northern Kentucky,,,
115.0,2025-03-01,Houston Christian,,Northwestern State,,,
99.0,2025-03-01,Miami (OH),,Ohio,,,
72.0,2025-03-01,Oral Roberts,,Omaha,,,
165.0,2025-03-01,Southern California,,Oregon,,,
98.0,2025-03-01,Santa Clara,,Pacific,,,
166.0,2025-03-01,Maryland,,Penn State,,,
99.0,2025-03-01,Washington State,,Pepperdine,,,
87.0,2025-03-01,Montana,,Portland State,,,
71.0,2025-03-01,Gardner-Webb,,Presbyterian,,,
100.0,2025-03-01,Connecticut,,Providence,,,
72.0,2025-03-01,Charleston Southern,,Radford,,,
88.0,2025-03-01,Montana State,,Sacramento State,,,
72.0,2025-03-01,Chicago State,,Saint Francis (PA),,,
126.0,2025-03-01,Loyola (IL),,Saint Louis,,,
100.0,2025-03-01,Oregon State,,Saint Mary's (CA),,,
81.0,2025-03-01,Louisiana Tech,,Sam Houston,,,
101.0,2025-03-01,Portland,,San Diego,,,
102.0,2025-03-01,Gonzaga,,San Francisco,,,
63.0,2025-03-01,Grand Canyon,,Seattle,,,
130.0,2025-03-01,Arkansas,,South Carolina,,,
49.0,2025-03-01,Norfolk State,,South Carolina State,,,
73.0,2025-03-01,Longwood,,South Carolina Upstate,,,
73.0,2025-03-01,North Dakota,,South Dakota,,,
111.0,2025-03-01,Little Rock,,Southern Illinois-Edwardsville,,,
101.0,2025-03-01,Seton Hall,,St. John's (NY),,,
74.0,2025-03-01,Kansas City,,St. Thomas,,,
165.0,2025-03-01,Southern Methodist,,Stanford,,,
116.0,2025-03-01,Nicholls State,,Stephen F. Austin,,,
73.0,2025-03-01,Le Moyne,,Stonehill,,,
127.0,2025-03-01,Elon,,Stony Brook,,,
147.0,2025-03-01,UCF,,TCU,,,
131.0,2025-03-01,Alabama,,Tennessee,,,
112.0,2025-03-01,Southern Indiana,,Tennessee State,,,
113.0,2025-03-01,Lindenwood,,Tennessee Tech,,,
114.0,2025-03-01,Morehead State,,Tennessee-Martin,,,
132.0,2025-03-01,Georgia,,Texas,,,
117.0,2025-03-01,Southeastern Louisiana,,Texas A&M-Corpus Christi,,,
118.0,2025-03-01,New Orleans,,Texas-Rio Grande Valley,,,
90.0,2025-03-01,East Tennessee State,,The Citadel,,,
128.0,2025-03-01,Hampton,,Towson,,,
103.0,2025-03-01,Tulane,,Tulsa,,,
101.0,2025-03-01,Long Beach State,,UC Irvine,,,
102.0,2025-03-01,Cal State Fullerton,,UC San Diego,,,
91.0,2025-03-01,Samford,,UNC Greensboro,,,
129.0,2025-03-01,Delaware,,UNC Wilmington,,,
64.0,2025-03-01,Abilene Christian,,UT Arlington,,,
82.0,2025-03-01,Middle Tennessee,,UTEP,,,
148.0,2025-03-01,Arizona State,,Utah,,,
65.0,2025-03-01,California Baptist,,Utah Tech,,,
66.0,2025-03-01,Southern Utah,,Utah Valley,,,
133.0,2025-03-01,Missouri,,Vanderbilt,,,
102.0,2025-03-01,Butler,,Villanova,,,
166.0,2025-03-01,Clemson,,Virginia,,,
92.0,2025-03-01,Chattanooga,,Virginia Military Institute,,,
168.0,2025-03-01,Syracuse,,Virginia Tech,,,
74.0,2025-03-01,Central Connecticut State,,Wagner,,,
169.0,2025-03-01,Notre Dame,,Wake Forest,,,
168.0,2025-03-01,Indiana,,Washington,,,
130.0,2025-03-01,Northeastern,,William & Mary,,,
74.0,2025-03-01,UNC Asheville,,Winthrop,,,
93.0,2025-03-01,Furman,,Wofford,,,
105.0,2025-03-01,San Diego State,,Wyoming,,,
103.0,2025-03-01,Creighton,,Xavier,,,
119.0,2025-03-02,Murray State,,Belmont,,,
120.0,2025-03-02,Northern Iowa,,Bradley,,,
117.0,2025-03-02,Iona,,Canisius,,,
121.0,2025-03-02,Missouri State,,Drake,,,
105.0,2025-03-02,Charlotte,,East Carolina,,,
103.0,2025-03-02,UC Davis,,Hawaii,,,
122.0,2025-03-02,Evansville,,Illinois State,,,
123.0,2025-03-02,Valparaiso,,Illinois-Chicago,,,
124.0,2025-03-02,Southern Illinois,,Indiana State,,,
149.0,2025-03-02,Colorado,,Kansas State,,,
84.0,2025-03-02,Kennesaw State,,Liberty,,,
118.0,2025-03-02,Saint Peter's,,Marist,,,
119.0,2025-03-02,Quinnipiac,,Merrimack,,,
169.0,2025-03-02,Illinois,,Michigan,,,
170.0,2025-03-02,Wisconsin,,Michigan State,,,
120.0,2025-03-02,Siena,,Mount St. Mary's,,,
121.0,2025-03-02,Manhattan,,Niagara,,,
122.0,2025-03-02,Fairfield,,Sacred Heart,,,
106.0,2025-03-02,Florida Atlantic,,South Florida,,,
107.0,2025-03-02,Memphis,,UAB,,,
108.0,2025-03-02,Rice,,UTSA,,,
97.0,2025-03-03,Texas Southern,,Alcorn State,,,
98.0,2025-03-03,Grambling,,Bethune-Cookman,,,
50.0,2025-03-03,Maryland-Eastern Shore,,Coppin State,,,
170.0,2025-03-03,Wake Forest,,Duke,,,
119.0,2025-03-03,Houston Christian,,East Texas A&M,,,
99.0,2025-03-03,Southern,,Florida A&M,,,
150.0,2025-03-03,Kansas,,Houston,,,
89.0,2025-03-03,Northern Arizona,,Idaho State,,,
120.0,2025-03-03,Northwestern State,,Incarnate Word,,,
100.0,2025-03-03,Prairie View,,Jackson State,,,
121.0,2025-03-03,Nicholls State,,Lamar,,,
90.0,2025-03-03,Eastern Washington,,Montana,,,
91.0,2025-03-03,Idaho,,Montana State,,,
51.0,2025-03-03,Delaware State,,Morgan State,,,
52.0,2025-03-03,Norfolk State,,North Carolina Central,,,
109.0,2025-03-03,Wichita State,,North Texas,,,
171.0,2025-03-03,UCLA,,Northwestern,,,
92.0,2025-03-03,Sacramento State,,Portland State,,,
53.0,2025-03-03,Howard,,South Carolina State,,,
122.0,2025-03-03,McNeese State,,Stephen F. Austin,,,
123.0,2025-03-03,New Orleans,,Texas A&M-Corpus Christi,,,
124.0,2025-03-03,Southeastern Louisiana,,Texas-Rio Grande Valley,,,
93.0,2025-03-03,Northern Colorado,,Weber State,,,
106.0,2025-03-04,Boise State,,Air Force,,,
151.0,2025-03-04,Arizona State,,Arizona,,,
100.0,2025-03-04,Central Michigan,,Ball State,,,
71.0,2025-03-04,NJIT,,Binghamton,,,
72.0,2025-03-04,New Hampshire,,Bryant,,,
101.0,2025-03-04,Miami (OH),,Buffalo,,,
107.0,2025-03-04,San Jose State,,Colorado State,,,
105.0,2025-03-04,Marquette,,Connecticut,,,
127.0,2025-03-04,Saint Louis,,Dayton,,,
128.0,2025-03-04,Virginia Commonwealth,,Duquesne,,,
108.0,2025-03-04,Wyoming,,Fresno State,,,
106.0,2025-03-04,Villanova,,Georgetown,,,
171.0,2025-03-04,Miami (FL),,Georgia Tech,,,
152.0,2025-03-04,Brigham Young,,Iowa State,,,
134.0,2025-03-04,Louisiana State,,Kentucky,,,
73.0,2025-03-04,Massachusetts-Lowell,,Maine,,,
135.0,2025-03-04,Texas,,Mississippi State,,,
109.0,2025-03-04,New Mexico,,Nevada,,,
110.0,2025-03-04,San Diego State,,Nevada-Las Vegas,,,
102.0,2025-03-04,Bowling Green State,,Northern Illinois,,,
103.0,2025-03-04,Eastern Michigan,,Ohio,,,
172.0,2025-03-04,Nebraska,,Ohio State,,,
173.0,2025-03-04,Indiana,,Oregon,,,
174.0,2025-03-04,Rutgers,,Purdue,,,
107.0,2025-03-04,Creighton,,Seton Hall,,,
136.0,2025-03-04,Georgia,,South Carolina,,,
172.0,2025-03-04,Syracuse,,Southern Methodist,,,
153.0,2025-03-04,Baylor,,TCU,,,
137.0,2025-03-04,Auburn,,Texas A&M,,,
105.0,2025-03-04,Akron,,Toledo,,,
110.0,2025-03-04,Temple,,Tulsa,,,
111.0,2025-03-04,Memphis,,UTSA,,,
154.0,2025-03-04,West Virginia,,Utah,,,
138.0,2025-03-04,Arkansas,,Vanderbilt,,,
