,Date,time,home_team,away_team
130,2025-04-06,,BOS:Boston Red Sox,STL:St. Louis Cardinals
131,2025-04-06,,CHC:Chicago Cubs,SDP:San Diego Padres
132,2025-04-06,,COL:Colorado Rockies,ATH:Athletics
133,2025-04-06,,DET:Detroit Tigers,CHW:Chicago White Sox
134,2025-04-06,,KCR:Kansas City Royals,BAL:Baltimore Orioles
128,2025-04-06,,LAA:Los Angeles Angels,CLE:Cleveland Guardians
135,2025-04-06,,MIL:Milwaukee Brewers,CIN:Cincinnati Reds
136,2025-04-06,,MIN:Minnesota Twins,HOU:Houston Astros
137,2025-04-06,,NYM:New York Mets,TOR:Toronto Blue Jays
138,2025-04-06,,PHI:Philadelphia Phillies,LAD:Los Angeles Dodgers
139,2025-04-06,,PIT:Pittsburgh Pirates,NYY:New York Yankees
140,2025-04-06,,SFG:San Francisco Giants,SEA:Seattle Mariners
141,2025-04-06,,TEX:Texas Rangers,TBR:Tampa Bay Rays
142,2025-04-06,,WSN:Washington Nationals,ARI:Arizona D'Backs
143,2025-04-07,,ARI:Arizona D'Backs,BAL:Baltimore Orioles
144,2025-04-07,,ATH:Athletics,SDP:San Diego Padres
145,2025-04-07,,BOS:Boston Red Sox,TOR:Toronto Blue Jays
146,2025-04-07,,CHC:Chicago Cubs,TEX:Texas Rangers
147,2025-04-07,,DET:Detroit Tigers,NYY:New York Yankees
148,2025-04-07,,KCR:Kansas City Royals,MIN:Minnesota Twins
149,2025-04-07,,NYM:New York Mets,MIA:Miami Marlins
150,2025-04-07,,PIT:Pittsburgh Pirates,STL:St. Louis Cardinals
151,2025-04-07,,SEA:Seattle Mariners,HOU:Houston Astros
152,2025-04-07,,SFG:San Francisco Giants,CIN:Cincinnati Reds
153,2025-04-07,,WSN:Washington Nationals,LAD:Los Angeles Dodgers
154,2025-04-08,,ARI:Arizona D'Backs,BAL:Baltimore Orioles
155,2025-04-08,,ATH:Athletics,SDP:San Diego Padres
156,2025-04-08,,ATL:Atlanta Braves,PHI:Philadelphia Phillies
157,2025-04-08,,BOS:Boston Red Sox,TOR:Toronto Blue Jays
158,2025-04-08,,CHC:Chicago Cubs,TEX:Texas Rangers
159,2025-04-08,,CLE:Cleveland Guardians,CHW:Chicago White Sox
160,2025-04-08,,COL:Colorado Rockies,MIL:Milwaukee Brewers
161,2025-04-08,,DET:Detroit Tigers,NYY:New York Yankees
162,2025-04-08,,KCR:Kansas City Royals,MIN:Minnesota Twins
163,2025-04-08,,NYM:New York Mets,MIA:Miami Marlins
164,2025-04-08,,PIT:Pittsburgh Pirates,STL:St. Louis Cardinals
165,2025-04-08,,SEA:Seattle Mariners,HOU:Houston Astros
166,2025-04-08,,SFG:San Francisco Giants,CIN:Cincinnati Reds
167,2025-04-08,,TBR:Tampa Bay Rays,LAA:Los Angeles Angels
168,2025-04-08,,WSN:Washington Nationals,LAD:Los Angeles Dodgers
169,2025-04-09,,ARI:Arizona D'Backs,BAL:Baltimore Orioles
170,2025-04-09,,ATH:Athletics,SDP:San Diego Padres
171,2025-04-09,,ATL:Atlanta Braves,PHI:Philadelphia Phillies
172,2025-04-09,,BOS:Boston Red Sox,TOR:Toronto Blue Jays
173,2025-04-09,,CHC:Chicago Cubs,TEX:Texas Rangers
174,2025-04-09,,CLE:Cleveland Guardians,CHW:Chicago White Sox
175,2025-04-09,,COL:Colorado Rockies,MIL:Milwaukee Brewers
176,2025-04-09,,DET:Detroit Tigers,NYY:New York Yankees
177,2025-04-09,,KCR:Kansas City Royals,MIN:Minnesota Twins
178,2025-04-09,,NYM:New York Mets,MIA:Miami Marlins
179,2025-04-09,,PIT:Pittsburgh Pirates,STL:St. Louis Cardinals
180,2025-04-09,,SEA:Seattle Mariners,HOU:Houston Astros
181,2025-04-09,,SFG:San Francisco Giants,CIN:Cincinnati Reds
182,2025-04-09,,TBR:Tampa Bay Rays,LAA:Los Angeles Angels
183,2025-04-09,,WSN:Washington Nationals,LAD:Los Angeles Dodgers
184,2025-04-10,,ATL:Atlanta Braves,PHI:Philadelphia Phillies
185,2025-04-10,,BOS:Boston Red Sox,TOR:Toronto Blue Jays
186,2025-04-10,,CLE:Cleveland Guardians,CHW:Chicago White Sox
187,2025-04-10,,COL:Colorado Rockies,MIL:Milwaukee Brewers
188,2025-04-10,,KCR:Kansas City Royals,MIN:Minnesota Twins
189,2025-04-10,,TBR:Tampa Bay Rays,LAA:Los Angeles Angels
190,2025-04-11,06:10PM,CLE:Cleveland Guardians,KCR:Kansas City Royals
191,2025-04-11,06:40PM,CIN:Cincinnati Reds,PIT:Pittsburgh Pirates
192,2025-04-11,07:05PM,BAL:Baltimore Orioles,TOR:Toronto Blue Jays
193,2025-04-11,07:05PM,NYY:New York Yankees,SFG:San Francisco Giants
194,2025-04-11,07:05PM,TBR:Tampa Bay Rays,ATL:Atlanta Braves
195,2025-04-11,07:10PM,MIA:Miami Marlins,WSN:Washington Nationals
196,2025-04-11,07:40PM,CHW:Chicago White Sox,BOS:Boston Red Sox
197,2025-04-11,08:10PM,HOU:Houston Astros,LAA:Los Angeles Angels
198,2025-04-11,08:10PM,MIN:Minnesota Twins,DET:Detroit Tigers
199,2025-04-11,08:15PM,STL:St. Louis Cardinals,PHI:Philadelphia Phillies
200,2025-04-11,09:40PM,ARI:Arizona D'Backs,MIL:Milwaukee Brewers
201,2025-04-11,09:40PM,SDP:San Diego Padres,COL:Colorado Rockies
202,2025-04-11,09:40PM,SEA:Seattle Mariners,TEX:Texas Rangers
